WEEK,VISITING,HOME,DATE,TIME,TV
WEEK 1,Ravens ,Broncos ,"THURSDAY, SEPTEMBER 5TH",8:30PM ET,NBC
WEEK 1,Patriots ,Bills ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS
WEEK 1,Bengals ,Bears ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS
WEEK 1,Dolphins ,Browns ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS
WEEK 1,Raiders ,Colts ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS
WEEK 1,Chiefs ,Jaguars ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS
WEEK 1,Buccaneers ,Jets ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,FOX
WEEK 1,Titans ,Steelers ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS
WEEK 1,Falcons ,Saints ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,FOX
WEEK 1,Seahawks ,Panthers ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,FOX
WEEK 1,Vikings ,Lions ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,FOX
WEEK 1,Packers ,49ers ,"SUNDAY, SEPTEMBER 8TH",4:25PM ET,FOX
WEEK 1,Cardinals ,Rams ,"SUNDAY, SEPTEMBER 8TH",4:25PM ET,FOX
WEEK 1,Giants ,Cowboys ,"SUNDAY, SEPTEMBER 8TH",8:30PM ET,NBC
WEEK 1,Eagles ,Redskins ,"MONDAY, SEPTEMBER 9TH",7:10PM ET,ESPN
WEEK 1,Texans ,Chargers ,"MONDAY, SEPTEMBER 9TH",10:20PM ET,ESPN
WEEK 2,Jets ,Patriots ,"THURSDAY, SEPTEMBER 12TH",8:25PM ET,NFL Network
WEEK 2,Cowboys ,Chiefs ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,FOX
WEEK 2,Rams ,Falcons ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,FOX
WEEK 2,Chargers ,Eagles ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,CBS
WEEK 2,Titans ,Texans ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,CBS
WEEK 2,Dolphins ,Colts ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,CBS
WEEK 2,Panthers ,Bills ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,FOX
WEEK 2,Browns ,Ravens ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,CBS
WEEK 2,Redskins ,Packers ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,FOX
WEEK 2,Vikings ,Bears ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,FOX
WEEK 2,Saints ,Buccaneers ,"SUNDAY, SEPTEMBER 15TH",4:05PM ET,FOX
WEEK 2,Lions ,Cardinals ,"SUNDAY, SEPTEMBER 15TH",4:05PM ET,FOX
WEEK 2,Jaguars ,Raiders ,"SUNDAY, SEPTEMBER 15TH",4:25PM ET,CBS
WEEK 2,Broncos ,Giants ,"SUNDAY, SEPTEMBER 15TH",4:25PM ET,CBS
WEEK 2,49ers ,Seahawks ,"SUNDAY, SEPTEMBER 15TH",8:30PM ET,NBC
WEEK 2,Steelers ,Bengals ,"MONDAY, SEPTEMBER 16TH",8:40PM ET,ESPN
WEEK 3,Chiefs ,Eagles ,"THURSDAY, SEPTEMBER 19TH",8:25PM ET,NFL Network
WEEK 3,Buccaneers ,Patriots ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,FOX
WEEK 3,Cardinals ,Saints ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,FOX
WEEK 3,Chargers ,Titans ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,CBS
WEEK 3,Packers ,Bengals ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,FOX
WEEK 3,Texans ,Ravens ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,CBS
WEEK 3,Browns ,Vikings ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,CBS
WEEK 3,Giants ,Panthers ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,FOX
WEEK 3,Rams ,Cowboys ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,FOX
WEEK 3,Lions ,Redskins ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,FOX
WEEK 3,Falcons ,Dolphins ,"SUNDAY, SEPTEMBER 22ND",4:05PM ET,FOX
WEEK 3,Jaguars ,Seahawks ,"SUNDAY, SEPTEMBER 22ND",4:25PM ET,CBS
WEEK 3,Colts ,49ers ,"SUNDAY, SEPTEMBER 22ND",4:25PM ET,CBS
WEEK 3,Bills ,Jets ,"SUNDAY, SEPTEMBER 22ND",4:25PM ET,CBS
WEEK 3,Bears ,Steelers ,"SUNDAY, SEPTEMBER 22ND",8:30PM ET,NBC
WEEK 3,Raiders ,Broncos ,"MONDAY, SEPTEMBER 23RD",8:40PM ET,ESPN
WEEK 4,49ers ,Rams ,"THURSDAY, SEPTEMBER 26TH",8:25PM ET,NFL Network
WEEK 4,Bears ,Lions ,"SUNDAY, SEPTEMBER 29TH",1:00PM ET,FOX
WEEK 4,Colts ,Jaguars ,"SUNDAY, SEPTEMBER 29TH",1:00PM ET,CBS
WEEK 4,Seahawks ,Texans ,"SUNDAY, SEPTEMBER 29TH",1:00PM ET,FOX
WEEK 4,Bengals ,Browns ,"SUNDAY, SEPTEMBER 29TH",1:00PM ET,CBS
WEEK 4,Ravens ,Bills ,"SUNDAY, SEPTEMBER 29TH",1:00PM ET,CBS
WEEK 4,Steelers ,Vikings ,"SUNDAY, SEPTEMBER 29TH",1:00PM ET,CBS
WEEK 4,Cardinals ,Buccaneers ,"SUNDAY, SEPTEMBER 29TH",1:00PM ET,FOX
WEEK 4,Giants ,Chiefs ,"SUNDAY, SEPTEMBER 29TH",1:00PM ET,FOX
WEEK 4,Jets ,Titans ,"SUNDAY, SEPTEMBER 29TH",4:05PM ET,CBS
WEEK 4,Cowboys ,Chargers ,"SUNDAY, SEPTEMBER 29TH",4:25PM ET,FOX
WEEK 4,Redskins ,Raiders ,"SUNDAY, SEPTEMBER 29TH",4:25PM ET,FOX
WEEK 4,Eagles ,Broncos ,"SUNDAY, SEPTEMBER 29TH",4:25PM ET,FOX
WEEK 4,Patriots ,Falcons ,"SUNDAY, SEPTEMBER 29TH",8:30PM ET,NBC
WEEK 4,Dolphins ,Saints ,"MONDAY, SEPTEMBER 30TH",8:40PM ET,ESPN
WEEK 5,Bills ,Browns ,"THURSDAY, OCTOBER 3RD",8:25PM ET,NFL Network
WEEK 5,Patriots ,Bengals ,"SUNDAY, OCTOBER 6TH",1:00PM ET,CBS
WEEK 5,Ravens ,Dolphins ,"SUNDAY, OCTOBER 6TH",1:00PM ET,CBS
WEEK 5,Seahawks ,Colts ,"SUNDAY, OCTOBER 6TH",1:00PM ET,FOX
WEEK 5,Chiefs ,Titans ,"SUNDAY, OCTOBER 6TH",1:00PM ET,CBS
WEEK 5,Jaguars ,Rams ,"SUNDAY, OCTOBER 6TH",1:00PM ET,CBS
WEEK 5,Saints ,Bears ,"SUNDAY, OCTOBER 6TH",1:00PM ET,FOX
WEEK 5,Lions ,Packers ,"SUNDAY, OCTOBER 6TH",1:00PM ET,FOX
WEEK 5,Eagles ,Giants ,"SUNDAY, OCTOBER 6TH",1:00PM ET,FOX
WEEK 5,Panthers ,Cardinals ,"SUNDAY, OCTOBER 6TH",4:05PM ET,FOX
WEEK 5,Chargers ,Raiders ,"SUNDAY, OCTOBER 6TH",4:25PM ET,CBS
WEEK 5,Broncos ,Cowboys ,"SUNDAY, OCTOBER 6TH",4:25PM ET,CBS
WEEK 5,Texans ,49ers ,"SUNDAY, OCTOBER 6TH",8:30PM ET,NBC
WEEK 5,Jets ,Falcons ,"MONDAY, OCTOBER 7TH",8:40PM ET,ESPN
WEEK 6,Giants ,Bears ,"THURSDAY, OCTOBER 10TH",8:25PM ET,NFL Network
WEEK 6,Panthers ,Vikings ,"SUNDAY, OCTOBER 13TH",1:00PM ET,FOX
WEEK 6,Eagles ,Buccaneers ,"SUNDAY, OCTOBER 13TH",1:00PM ET,FOX
WEEK 6,Steelers ,Jets ,"SUNDAY, OCTOBER 13TH",1:00PM ET,CBS
WEEK 6,Raiders ,Chiefs ,"SUNDAY, OCTOBER 13TH",1:00PM ET,CBS
WEEK 6,Rams ,Texans ,"SUNDAY, OCTOBER 13TH",1:00PM ET,FOX
WEEK 6,Lions ,Browns ,"SUNDAY, OCTOBER 13TH",1:00PM ET,FOX
WEEK 6,Packers ,Ravens ,"SUNDAY, OCTOBER 13TH",1:00PM ET,FOX
WEEK 6,Bengals ,Bills ,"SUNDAY, OCTOBER 13TH",1:00PM ET,CBS
WEEK 6,Jaguars ,Broncos ,"SUNDAY, OCTOBER 13TH",4:05PM ET,CBS
WEEK 6,Titans ,Seahawks ,"SUNDAY, OCTOBER 13TH",4:05PM ET,CBS
WEEK 6,Saints ,Patriots ,"SUNDAY, OCTOBER 13TH",4:25PM ET,FOX
WEEK 6,Cardinals ,49ers ,"SUNDAY, OCTOBER 13TH",4:25PM ET,FOX
WEEK 6,Redskins ,Cowboys ,"SUNDAY, OCTOBER 13TH",8:30PM ET,NBC
WEEK 6,Colts ,Chargers ,"MONDAY, OCTOBER 14TH",8:40PM ET,ESPN
WEEK 7,Seahawks ,Cardinals ,"THURSDAY, OCTOBER 17TH",8:25PM ET,NFL Network
WEEK 7,Buccaneers ,Falcons ,"SUNDAY, OCTOBER 20TH",1:00PM ET,FOX
WEEK 7,Patriots ,Jets ,"SUNDAY, OCTOBER 20TH",1:00PM ET,CBS
WEEK 7,Chargers ,Jaguars ,"SUNDAY, OCTOBER 20TH",1:00PM ET,CBS
WEEK 7,Texans ,Chiefs ,"SUNDAY, OCTOBER 20TH",1:00PM ET,CBS
WEEK 7,Bills ,Dolphins ,"SUNDAY, OCTOBER 20TH",1:00PM ET,CBS
WEEK 7,Bengals ,Lions ,"SUNDAY, OCTOBER 20TH",1:00PM ET,CBS
WEEK 7,Cowboys ,Eagles ,"SUNDAY, OCTOBER 20TH",1:00PM ET,FOX
WEEK 7,Rams ,Panthers ,"SUNDAY, OCTOBER 20TH",1:00PM ET,FOX
WEEK 7,Bears ,Redskins ,"SUNDAY, OCTOBER 20TH",1:00PM ET,FOX
WEEK 7,49ers ,Titans ,"SUNDAY, OCTOBER 20TH",4:05PM ET,FOX
WEEK 7,Ravens ,Steelers ,"SUNDAY, OCTOBER 20TH",4:25PM ET,CBS
WEEK 7,Browns ,Packers ,"SUNDAY, OCTOBER 20TH",4:25PM ET,CBS
WEEK 7,Broncos ,Colts ,"SUNDAY, OCTOBER 20TH",8:30PM ET,NBC
WEEK 7,Vikings ,Giants ,"MONDAY, OCTOBER 21ST",8:40PM ET,ESPN
WEEK 8,Panthers ,Buccaneers ,"THURSDAY, OCTOBER 24TH",8:25PM ET,NFL Network
WEEK 8,Cowboys ,Lions ,"SUNDAY, OCTOBER 27TH",1:00PM ET,FOX
WEEK 8,Giants ,Eagles ,"SUNDAY, OCTOBER 27TH",1:00PM ET,FOX
WEEK 8,Browns ,Chiefs ,"SUNDAY, OCTOBER 27TH",1:00PM ET,CBS
WEEK 8,Bills ,Saints ,"SUNDAY, OCTOBER 27TH",1:00PM ET,CBS
WEEK 8,49ers ,Jaguars ,"SUNDAY, OCTOBER 27TH",1:00PM ET,FOX
WEEK 8,Dolphins ,Patriots ,"SUNDAY, OCTOBER 27TH",1:00PM ET,CBS
WEEK 8,Steelers ,Raiders ,"SUNDAY, OCTOBER 27TH",4:05PM ET,CBS
WEEK 8,Jets ,Bengals ,"SUNDAY, OCTOBER 27TH",4:05PM ET,CBS
WEEK 8,Redskins ,Broncos ,"SUNDAY, OCTOBER 27TH",4:25PM ET,FOX
